chunk_id,document,page_range,section,word_len,preview
Asmt_CIT_003_2022_2023_E.pdf_p1-3_c1,Asmt_CIT_003_2022_2023_E.pdf,"[1, 3]",Not specified,380,"Asmt_CIT_015_E You may read this set of instructions provided, before completing the Return of Income. Further details can be obtained via Inland Revenue (IRD) web portal – www.ird.gov.lk. 1. Introduction In terms of Section 93 (1) of the Inland Revenue Act, No. 24 of 2017 (IRA), and its amendments thereon every person shall file with Commissioner-General not later than 8 Months after the end of e"
Asmt_CIT_003_2022_2023_E.pdf_p4-6_c1,Asmt_CIT_003_2022_2023_E.pdf,"[4, 6]",Not specified,380,"issued by the Commissioner-General or through e-filling. However, such taxpayers are also encouraged to use the online platform to e-File the Return of Income. 4. Approved forms of the CIT return Approved forms have been structured as follows. (a) Return of income - Part A (i) Section -01: Statement of gains and profits (ii) Section -02: Declaration (iii) Schedules to Return of Income (b) Financia"
Asmt_CIT_003_2022_2023_E.pdf_p4-6_c2,Asmt_CIT_003_2022_2023_E.pdf,"[4, 6]",Not specified,380,"– Part A of the Return (Details of approved accountant/Any other person In terms of Section 126(5) of the IRA, as amended by the Inland Revenue (Amendment) Act No. 10 of 2021, where a return or part of a return was prepared for a payment by any person, including by an approved accountant, such person shall certify separately specifying the extent to which he was involved in the preparation of such"
Asmt_CIT_003_2022_2023_E.pdf_p4-6_c3,Asmt_CIT_003_2022_2023_E.pdf,"[4, 6]",Not specified,223,"to have been furnished by that person or with the person’s authority, as the case may be, unless the contrary is proved, and any person signing such return, statement, or form shall have deemed to be cognizant of all matters contained therein. 7. Transfer pricing disclosure form In terms of Regulations 6 of the Transfer Pricing Regulations published in the Extraordinary Gazette No. 2217/07 dated 0"
Asmt_CIT_003_2022_2023_E.pdf_p7-9_c1,Asmt_CIT_003_2022_2023_E.pdf,"[7, 9]",Not specified,380,"(iv) Separate certificates of the person who prepared the return or part of the return for a payment (v) Transfer pricing disclosure form in PDF/JPG with Excel format (if applicable) (vi) Any other required documents and certificates Any person who submitted a tax return without, relevant audited financial statements, completed Schedules of approved forms, separate certificates of the person who p"
Asmt_CIT_003_2022_2023_E.pdf_p7-9_c2,Asmt_CIT_003_2022_2023_E.pdf,"[7, 9]",Not specified,254,taxable income of an entity for the under section 3 of Inland Revenue Act the aggregate qualifying payment referred in the third Schedule to this Act shall be deducted. Cage 80 Tax on Income Taxable at Special Rates (Schedule 04) Concessionary rates applied on gain and profit of following entities 12.1 For the first six months period (from 01.04.2022 to 30.09.2022) of the (Company Tax Rates are ap
Asmt_CIT_003_2022_2023_E.pdf_p10-12_c1,Asmt_CIT_003_2022_2023_E.pdf,"[10, 12]",Not specified,380,12.2 For the second six months period (from 01.10.2022 to 31.032023) of the (Company Tax Rates) Should be applied at the normal tax rate setout bellow and other all remain tax rates should be declared. (a) Trust – 30% (b) Companies – 30% (including gains from realization of investment assets) (c) Unit Trust and Mutual Fund - 30% (d) Non – Government Organization (including on amounts received by w
Asmt_CIT_003_2022_2023_E.pdf_p10-12_c2,Asmt_CIT_003_2022_2023_E.pdf,"[10, 12]",Not specified,335,"be derived from the realization of an investment asset during a shall not be considered for the purpose of quarterly payments. Assessment payment should have been paid as follows. Assessment Due date (on or Payment code before) On capital gains One month after 22040 to 23030 (code will the date of be changed according to realization the month of the transaction) On taxable September 30th, 22230 in"
Asmt_CIT_003_2022_2023_E.pdf_p13-15_c1,Asmt_CIT_003_2022_2023_E.pdf,"[13, 15]",Not specified,380,"16. Application of other penal provisions (a) Penalties  In terms of Section 180 of the IRA (Negligent or Fraudulent Underpayment), a penalty can be imposed on taxpayers who underpay (or may have underpaid) tax intentionally or negligently, as a result of an incorrect statement or omission on the tax return. The amount of the penalty is based on the extent of the underpayment. It is 75% of the un"
Asmt_CIT_003_2022_2023_E.pdf_p13-15_c2,Asmt_CIT_003_2022_2023_E.pdf,"[13, 15]",Not specified,290,"liable on conviction to a fine of Rs. 1,000,000, or to imprisonment for a term not exceeding one year, or both. Fails to file a return, makes a statement to a tax official that is false or misleading in a material particular, fails to maintain required records or otherwise impedes the determination, assessment or collection of tax are constitute as impeding tax administration. A person may be guil"
PN_IT_2025-01_26032025_E.pdf_p1-1_c1,PN_IT_2025-01_26032025_E.pdf,"[1, 1]",PN/IT/2025-01,201,"PN/IT/2025-01 26.03.2025 Notice to the Taxpayers Amendments to the Inland Revenue Act, No. 24 of 2017 Inland Revenue (Amendment) Act, No. 02 of 2025 has been certified on 20.03.2025 and important changes made from such amendment Act to the Inland Revenue Act, No. 24 of 2017 (IRA) are as follows. 1. Personal Relief Personal Relief which can be deducted in arriving at the taxable income of an indivi"
PN_IT_2025-01_26032025_E.pdf_p2-2_c1,PN_IT_2025-01_26032025_E.pdf,"[2, 2]",Not specified,341,"ii. The gains and profits earned or derived from any foreign source where such gains and profits are earned or derived in foreign currency and remitted through a bank to Sri Lanka (Foreign Sources). (c) Income from a business consisting of betting and gaming, manufacture and sale or import and sale of any liquor or tobacco product = Tax Rate is 45% (flat rate). 2.2 Tax rates for companies -special"
SET_25_26_Detail_Guide_E.pdf_p1-3_c1,SET_25_26_Detail_Guide_E.pdf,"[1, 3]",Not specified,380,"INSTRUCTIONS FOR COMPLETION THE STATEMENT OF ESTIMATED TAX PAYABLE AND PAYMENT OF QUARTERLY INSTALMENTS In terms of Sections 90 and 91 of the Inland Revenue Act, No. 24 of 2017 (IRA) and as amended by Amendment Act, No. 10 of 2021, Amendment Act, No 45 of 2022, a person who is an “instalment payer” shall pay income tax on the estimated taxable income as computed in the Statement of Estimated Tax P"
SET_25_26_Detail_Guide_E.pdf_p1-3_c2,SET_25_26_Detail_Guide_E.pdf,"[1, 3]",Not specified,380,to E-file the SET form for Y/A 2025/2026. Duly completed SET could be submitted via IRD web portal. 1.2 Payment of Estimated Tax  Payment Due Dates and period codes The estimated tax shall be paid in quarterly instalments by the following dates using following period codes Tax Instalment Due Date of payment Payment Period Code First Instalment 15th August 2025 25261 Second Instalment 15th Novembe
SET_25_26_Detail_Guide_E.pdf_p1-3_c3,SET_25_26_Detail_Guide_E.pdf,"[1, 3]",Not specified,180,"taxpayer. If the estimated tax payable is varied from the original SET, a revised SET could be submitted and subsequent instalment payments should be made accordingly. Further, in the event of submitting a revised estimate, it is important to mark ‘’’’ in the cage of, “Revised Statement” of the SET. Also indicate the Income tax type. Persons other than Individuals and Partnerships should mark the"
SET_25_26_Detail_Guide_E.pdf_p4-6_c1,SET_25_26_Detail_Guide_E.pdf,"[4, 6]",Not specified,380,"a) Total estimated income from employment, business, investment (other than the gain from realization of investment assets) or other income source would be the total Local estimated assessable income of a person. Enter total of all income enumerated under cages 10 to 40 & 40A into the cage 50. b) When calculating estimated assessable income, final withholding payments and exempt amounts should not"
SET_25_26_Detail_Guide_E.pdf_p4-6_c2,SET_25_26_Detail_Guide_E.pdf,"[4, 6]",Not specified,380,a new cinema at a cost of not exceeding twenty-five million rupees - in the upgrading of a cinema at a cost of not exceeding ten million Rupees The deduction of this expenditure is restricted one third of the taxable income. V. Cage 70 – Estimated Reliefs Enter Estimated Reliefs that you are entitled for the (subject to following restrictions).  Personal Relief Resident individuals or citizen ind
SET_25_26_Detail_Guide_E.pdf_p4-6_c3,SET_25_26_Detail_Guide_E.pdf,"[4, 6]",Not specified,165,"on Taxable Income Tax rate on the excess Range (Rs) equal to the lowest of the taxable income over the range lowest of the range 60,000 First 1,000,000 6 % 90,000 Next 500,000 18 % 120,000 Next 500,000 24 % 150,000 Next 500,000 30 % Balance 36 % Special Rates - on gains and profits from manufacture and sale or import and sale of any liquor or tobacco products - 45% - on gains and profits from cond"
